match_date,tour,tournament,surface,round,winner_name,loser_name
2023-02-13,ATP,Tourney_8,Clay,R16,ATP_Player_3,ATP_Player_7
2023-02-16,ATP,Tourney_5,Grass,R16,ATP_Player_12,ATP_Player_19
2023-02-19,ATP,Tourney_5,Hard,SF,ATP_Player_5,ATP_Player_10
2023-02-22,ATP,Tourney_5,Grass,R32,ATP_Player_12,ATP_Player_8
2023-02-25,ATP,Tourney_5,Hard,SF,ATP_Player_6,ATP_Player_7
2023-02-28,ATP,Tourney_4,Grass,R32,ATP_Player_20,ATP_Player_12
2023-03-03,ATP,Tourney_7,Hard,R16,ATP_Player_6,ATP_Player_10
2023-03-06,WTA,Tourney_1,Hard,F,WTA_Player_8,WTA_Player_2
2023-03-09,WTA,Tourney_7,Grass,QF,WTA_Player_15,WTA_Player_7
2023-03-12,WTA,Tourney_7,Grass,F,WTA_Player_16,WTA_Player_10
2023-03-15,ATP,Tourney_4,Hard,F,ATP_Player_15,ATP_Player_7
2023-03-18,WTA,Tourney_6,Clay,R16,WTA_Player_6,WTA_Player_18
2023-03-21,WTA,Tourney_4,Clay,F,WTA_Player_19,WTA_Player_3
2023-03-24,WTA,Tourney_2,Hard,R32,WTA_Player_17,WTA_Player_14
2023-03-27,ATP,Tourney_3,Grass,R32,ATP_Player_3,ATP_Player_14
2023-03-30,ATP,Tourney_1,Hard,F,ATP_Player_1,ATP_Player_19
2023-04-02,ATP,Tourney_3,Grass,R32,ATP_Player_17,ATP_Player_15
2023-04-05,WTA,Tourney_5,Hard,F,WTA_Player_14,WTA_Player_6
2023-04-08,ATP,Tourney_8,Grass,R16,ATP_Player_9,ATP_Player_14
2023-04-11,ATP,Tourney_4,Clay,F,ATP_Player_9,ATP_Player_15
2023-04-14,WTA,Tourney_6,Grass,R32,WTA_Player_17,WTA_Player_2
2023-04-17,ATP,Tourney_6,Clay,R32,ATP_Player_3,ATP_Player_17
2023-04-20,ATP,Tourney_7,Grass,F,ATP_Player_4,ATP_Player_10
2023-04-23,ATP,Tourney_5,Clay,QF,ATP_Player_9,ATP_Player_5
2023-04-26,ATP,Tourney_4,Hard,QF,ATP_Player_4,ATP_Player_8
2023-04-29,ATP,Tourney_7,Hard,QF,ATP_Player_6,ATP_Player_13
2023-05-02,WTA,Tourney_6,Clay,F,WTA_Player_12,WTA_Player_11
2023-05-05,WTA,Tourney_6,Hard,R16,WTA_Player_6,WTA_Player_17
2023-05-08,WTA,Tourney_7,Clay,R32,WTA_Player_3,WTA_Player_9
2023-05-11,WTA,Tourney_8,Hard,SF,WTA_Player_14,WTA_Player_1
2023-05-14,WTA,Tourney_1,Grass,SF,WTA_Player_1,WTA_Player_5
2023-05-17,WTA,Tourney_5,Hard,SF,WTA_Player_8,WTA_Player_9
2023-05-20,WTA,Tourney_3,Clay,R32,WTA_Player_4,WTA_Player_7
2023-05-23,ATP,Tourney_1,Hard,R16,ATP_Player_1,ATP_Player_10
2023-05-26,ATP,Tourney_3,Clay,R16,ATP_Player_17,ATP_Player_15
2023-05-29,WTA,Tourney_3,Grass,F,WTA_Player_1,WTA_Player_7
2023-06-01,WTA,Tourney_5,Hard,R16,WTA_Player_10,WTA_Player_9
2023-06-04,ATP,Tourney_3,Hard,R32,ATP_Player_18,ATP_Player_10
2023-06-07,ATP,Tourney_5,Hard,QF,ATP_Player_18,ATP_Player_11
2023-06-10,ATP,Tourney_6,Grass,SF,ATP_Player_12,ATP_Player_1
2023-06-13,WTA,Tourney_1,Clay,SF,WTA_Player_15,WTA_Player_7
2023-06-16,WTA,Tourney_6,Clay,SF,WTA_Player_17,WTA_Player_16
2023-06-19,ATP,Tourney_4,Grass,QF,ATP_Player_15,ATP_Player_12
2023-06-22,WTA,Tourney_4,Hard,SF,WTA_Player_18,WTA_Player_19
2023-06-25,ATP,Tourney_2,Hard,QF,ATP_Player_14,ATP_Player_8
2023-06-28,ATP,Tourney_2,Hard,SF,ATP_Player_5,ATP_Player_6
2023-07-01,ATP,Tourney_6,Clay,F,ATP_Player_2,ATP_Player_17
2023-07-04,WTA,Tourney_8,Clay,SF,WTA_Player_13,WTA_Player_15
2023-07-07,ATP,Tourney_2,Hard,F,ATP_Player_10,ATP_Player_6
2023-07-10,WTA,Tourney_5,Hard,SF,WTA_Player_20,WTA_Player_19
2023-07-13,WTA,Tourney_5,Hard,SF,WTA_Player_7,WTA_Player_11
2023-07-16,ATP,Tourney_4,Clay,SF,ATP_Player_1,ATP_Player_14
2023-07-19,WTA,Tourney_7,Clay,SF,WTA_Player_19,WTA_Player_3
2023-07-22,ATP,Tourney_3,Grass,R16,ATP_Player_20,ATP_Player_13
2023-07-25,ATP,Tourney_3,Clay,SF,ATP_Player_6,ATP_Player_12
2023-07-28,ATP,Tourney_5,Clay,QF,ATP_Player_5,ATP_Player_19
2023-07-31,ATP,Tourney_2,Hard,R16,ATP_Player_6,ATP_Player_10
2023-08-03,WTA,Tourney_5,Grass,F,WTA_Player_6,WTA_Player_3
2023-08-06,ATP,Tourney_4,Hard,R32,ATP_Player_15,ATP_Player_3
2023-08-09,ATP,Tourney_4,Grass,SF,ATP_Player_18,ATP_Player_19
2023-08-12,WTA,Tourney_3,Clay,R32,WTA_Player_3,WTA_Player_19
2023-08-15,WTA,Tourney_8,Hard,F,WTA_Player_14,WTA_Player_12
2023-08-18,WTA,Tourney_8,Grass,R16,WTA_Player_8,WTA_Player_5
2023-08-21,ATP,Tourney_3,Hard,QF,ATP_Player_19,ATP_Player_7
2023-08-24,WTA,Tourney_1,Clay,QF,WTA_Player_2,WTA_Player_15
2023-08-27,ATP,Tourney_7,Clay,R16,ATP_Player_19,ATP_Player_6
2023-08-30,WTA,Tourney_1,Grass,R32,WTA_Player_7,WTA_Player_15
2023-09-02,WTA,Tourney_5,Grass,F,WTA_Player_1,WTA_Player_16
2023-09-05,ATP,Tourney_7,Clay,R16,ATP_Player_20,ATP_Player_13
2023-09-08,WTA,Tourney_7,Hard,R32,WTA_Player_16,WTA_Player_13
2023-09-11,ATP,Tourney_3,Grass,R32,ATP_Player_1,ATP_Player_11
2023-09-14,ATP,Tourney_1,Grass,F,ATP_Player_9,ATP_Player_1
2023-09-17,ATP,Tourney_3,Hard,F,ATP_Player_11,ATP_Player_1
2023-09-20,WTA,Tourney_7,Hard,R16,WTA_Player_19,WTA_Player_15
2023-09-23,ATP,Tourney_7,Clay,F,ATP_Player_15,ATP_Player_9
2023-09-26,ATP,Tourney_2,Clay,SF,ATP_Player_20,ATP_Player_18
2023-09-29,ATP,Tourney_8,Clay,R16,ATP_Player_9,ATP_Player_11
2023-10-02,ATP,Tourney_7,Clay,QF,ATP_Player_8,ATP_Player_15
2023-10-05,WTA,Tourney_6,Clay,R16,WTA_Player_19,WTA_Player_7
2023-10-08,WTA,Tourney_5,Hard,F,WTA_Player_20,WTA_Player_18
2023-10-11,ATP,Tourney_5,Grass,QF,ATP_Player_13,ATP_Player_16
2023-10-14,WTA,Tourney_1,Grass,F,WTA_Player_16,WTA_Player_2
2023-10-17,ATP,Tourney_5,Clay,R32,ATP_Player_20,ATP_Player_11
2023-10-20,WTA,Tourney_6,Hard,R16,WTA_Player_19,WTA_Player_14
2023-10-23,ATP,Tourney_7,Hard,QF,ATP_Player_12,ATP_Player_8
2023-10-26,ATP,Tourney_7,Clay,SF,ATP_Player_16,ATP_Player_15
2023-10-29,WTA,Tourney_5,Grass,R16,WTA_Player_2,WTA_Player_11
2023-11-01,WTA,Tourney_1,Clay,R32,WTA_Player_5,WTA_Player_19
2023-11-04,ATP,Tourney_8,Clay,R32,ATP_Player_3,ATP_Player_20
2023-11-07,ATP,Tourney_5,Hard,R16,ATP_Player_16,ATP_Player_20
2023-11-10,WTA,Tourney_4,Hard,QF,WTA_Player_15,WTA_Player_5
2023-11-13,ATP,Tourney_7,Clay,F,ATP_Player_2,ATP_Player_3
2023-11-16,ATP,Tourney_7,Hard,R16,ATP_Player_11,ATP_Player_16
2023-11-19,ATP,Tourney_7,Grass,SF,ATP_Player_15,ATP_Player_11
2023-11-22,WTA,Tourney_6,Hard,F,WTA_Player_15,WTA_Player_12
2023-11-25,ATP,Tourney_6,Hard,R32,ATP_Player_18,ATP_Player_6
2023-11-28,WTA,Tourney_8,Clay,R16,WTA_Player_17,WTA_Player_20
2023-12-01,WTA,Tourney_3,Hard,R16,WTA_Player_18,WTA_Player_2
2023-12-04,ATP,Tourney_7,Grass,F,ATP_Player_12,ATP_Player_1
2023-12-07,ATP,Tourney_6,Clay,R32,ATP_Player_1,ATP_Player_6
2023-12-10,WTA,Tourney_3,Clay,R32,WTA_Player_7,WTA_Player_5
2023-12-13,WTA,Tourney_3,Hard,QF,WTA_Player_14,WTA_Player_16
2023-12-16,WTA,Tourney_5,Clay,SF,WTA_Player_1,WTA_Player_13
2023-12-19,ATP,Tourney_5,Grass,R32,ATP_Player_19,ATP_Player_8
2023-12-22,ATP,Tourney_8,Clay,SF,ATP_Player_20,ATP_Player_7
2023-12-25,ATP,Tourney_8,Clay,R16,ATP_Player_15,ATP_Player_20
2023-12-28,WTA,Tourney_6,Hard,QF,WTA_Player_13,WTA_Player_6
2023-12-31,ATP,Tourney_3,Grass,F,ATP_Player_12,ATP_Player_19
2024-01-03,WTA,Tourney_2,Clay,F,WTA_Player_17,WTA_Player_16
2024-01-06,ATP,Tourney_5,Grass,QF,ATP_Player_6,ATP_Player_14
2024-01-09,ATP,Tourney_8,Clay,R16,ATP_Player_4,ATP_Player_20
2024-01-12,WTA,Tourney_5,Grass,R16,WTA_Player_16,WTA_Player_8
2024-01-15,WTA,Tourney_4,Clay,R16,WTA_Player_10,WTA_Player_18
2024-01-18,WTA,Tourney_7,Grass,R16,WTA_Player_2,WTA_Player_6
2024-01-21,WTA,Tourney_8,Clay,F,WTA_Player_8,WTA_Player_18
2024-01-24,WTA,Tourney_2,Hard,R32,WTA_Player_9,WTA_Player_2
2024-01-27,WTA,Tourney_8,Hard,F,WTA_Player_2,WTA_Player_16
2024-01-30,WTA,Tourney_8,Clay,F,WTA_Player_15,WTA_Player_16
2024-02-02,ATP,Tourney_2,Grass,SF,ATP_Player_12,ATP_Player_11
2024-02-05,ATP,Tourney_7,Grass,R16,ATP_Player_4,ATP_Player_19
2024-02-08,WTA,Tourney_7,Clay,F,WTA_Player_11,WTA_Player_9
2024-02-11,WTA,Tourney_2,Hard,F,WTA_Player_11,WTA_Player_5
2024-02-14,WTA,Tourney_7,Hard,F,WTA_Player_10,WTA_Player_2
2024-02-17,ATP,Tourney_3,Clay,R16,ATP_Player_4,ATP_Player_19
2024-02-20,ATP,Tourney_4,Clay,F,ATP_Player_19,ATP_Player_9
2024-02-23,ATP,Tourney_8,Grass,F,ATP_Player_10,ATP_Player_13
2024-02-26,WTA,Tourney_7,Clay,F,WTA_Player_8,WTA_Player_1
2024-02-29,WTA,Tourney_1,Clay,QF,WTA_Player_9,WTA_Player_18
2024-03-03,ATP,Tourney_3,Clay,SF,ATP_Player_10,ATP_Player_6
2024-03-06,WTA,Tourney_5,Clay,R32,WTA_Player_13,WTA_Player_15
2024-03-09,ATP,Tourney_5,Grass,F,ATP_Player_6,ATP_Player_10
2024-03-12,WTA,Tourney_8,Hard,R32,WTA_Player_13,WTA_Player_4
2024-03-15,ATP,Tourney_7,Grass,R16,ATP_Player_3,ATP_Player_6
2024-03-18,WTA,Tourney_4,Clay,QF,WTA_Player_18,WTA_Player_19
2024-03-21,ATP,Tourney_7,Clay,QF,ATP_Player_5,ATP_Player_1
2024-03-24,ATP,Tourney_2,Clay,R32,ATP_Player_16,ATP_Player_17
2024-03-27,ATP,Tourney_1,Clay,R32,ATP_Player_9,ATP_Player_14
2024-03-30,WTA,Tourney_4,Clay,R32,WTA_Player_1,WTA_Player_14
2024-04-02,WTA,Tourney_1,Grass,R16,WTA_Player_18,WTA_Player_1
2024-04-05,ATP,Tourney_2,Grass,QF,ATP_Player_12,ATP_Player_13
2024-04-08,ATP,Tourney_3,Grass,R16,ATP_Player_4,ATP_Player_3
2024-04-11,WTA,Tourney_5,Hard,F,WTA_Player_9,WTA_Player_7
2024-04-14,WTA,Tourney_7,Grass,R32,WTA_Player_14,WTA_Player_1
2024-04-17,ATP,Tourney_4,Clay,R16,ATP_Player_15,ATP_Player_16
2024-04-20,WTA,Tourney_5,Grass,QF,WTA_Player_16,WTA_Player_9
2024-04-23,WTA,Tourney_2,Grass,SF,WTA_Player_15,WTA_Player_2
2024-04-26,ATP,Tourney_8,Grass,F,ATP_Player_7,ATP_Player_14
2024-04-29,ATP,Tourney_8,Clay,F,ATP_Player_14,ATP_Player_12
2024-05-02,ATP,Tourney_1,Hard,QF,ATP_Player_15,ATP_Player_9
2024-05-05,WTA,Tourney_8,Hard,F,WTA_Player_4,WTA_Player_9
2024-05-08,WTA,Tourney_1,Hard,SF,WTA_Player_18,WTA_Player_3
2024-05-11,ATP,Tourney_4,Hard,F,ATP_Player_9,ATP_Player_10
2024-05-14,WTA,Tourney_4,Grass,R32,WTA_Player_15,WTA_Player_12
2024-05-17,WTA,Tourney_1,Hard,F,WTA_Player_12,WTA_Player_15
2024-05-20,ATP,Tourney_8,Grass,R16,ATP_Player_10,ATP_Player_6
2024-05-23,ATP,Tourney_6,Hard,R32,ATP_Player_4,ATP_Player_11
2024-05-26,WTA,Tourney_7,Clay,R16,WTA_Player_17,WTA_Player_3
2024-05-29,ATP,Tourney_7,Hard,QF,ATP_Player_15,ATP_Player_12
2024-06-01,WTA,Tourney_8,Clay,QF,WTA_Player_14,WTA_Player_9
2024-06-04,ATP,Tourney_2,Clay,R16,ATP_Player_16,ATP_Player_3
2024-06-07,ATP,Tourney_1,Clay,R32,ATP_Player_11,ATP_Player_16
2024-06-10,WTA,Tourney_5,Grass,QF,WTA_Player_17,WTA_Player_11
2024-06-13,ATP,Tourney_1,Hard,R32,ATP_Player_2,ATP_Player_5
2024-06-16,ATP,Tourney_5,Clay,R16,ATP_Player_15,ATP_Player_17
2024-06-19,ATP,Tourney_4,Clay,QF,ATP_Player_8,ATP_Player_12
2024-06-22,WTA,Tourney_4,Hard,QF,WTA_Player_2,WTA_Player_19
2024-06-25,ATP,Tourney_2,Clay,QF,ATP_Player_18,ATP_Player_5
2024-06-28,WTA,Tourney_5,Grass,R32,WTA_Player_10,WTA_Player_7
2024-07-01,WTA,Tourney_1,Grass,R32,WTA_Player_11,WTA_Player_15
2024-07-04,ATP,Tourney_4,Clay,F,ATP_Player_19,ATP_Player_8
2024-07-07,ATP,Tourney_2,Clay,QF,ATP_Player_1,ATP_Player_9
2024-07-10,WTA,Tourney_1,Grass,R32,WTA_Player_4,WTA_Player_15
2024-07-13,ATP,Tourney_3,Clay,SF,ATP_Player_7,ATP_Player_11
2024-07-16,ATP,Tourney_8,Hard,SF,ATP_Player_4,ATP_Player_15
2024-07-19,ATP,Tourney_3,Hard,F,ATP_Player_1,ATP_Player_11
2024-07-22,ATP,Tourney_7,Grass,F,ATP_Player_8,ATP_Player_6
2024-07-25,WTA,Tourney_5,Grass,R32,WTA_Player_17,WTA_Player_19
2024-07-28,ATP,Tourney_3,Clay,QF,ATP_Player_17,ATP_Player_19
2024-07-31,WTA,Tourney_6,Clay,QF,WTA_Player_13,WTA_Player_12
2024-08-03,WTA,Tourney_7,Grass,QF,WTA_Player_10,WTA_Player_3
2024-08-06,WTA,Tourney_3,Hard,F,WTA_Player_2,WTA_Player_8
2024-08-09,ATP,Tourney_5,Grass,QF,ATP_Player_11,ATP_Player_7
2024-08-12,ATP,Tourney_3,Clay,QF,ATP_Player_2,ATP_Player_13
2024-08-15,ATP,Tourney_1,Grass,F,ATP_Player_2,ATP_Player_5
2024-08-18,ATP,Tourney_5,Hard,SF,ATP_Player_12,ATP_Player_20
2024-08-21,WTA,Tourney_3,Hard,F,WTA_Player_13,WTA_Player_16
2024-08-24,WTA,Tourney_5,Grass,SF,WTA_Player_3,WTA_Player_13
2024-08-27,WTA,Tourney_1,Hard,QF,WTA_Player_13,WTA_Player_2
2024-08-30,WTA,Tourney_3,Grass,SF,WTA_Player_9,WTA_Player_19
