match_date,tour,tournament,player_1,player_2,odds_p1,odds_p2
2022-07-03,ATP,Tourney_1,ATP_Player_20,ATP_Player_14,1.37,4.758
2022-07-06,ATP,Tourney_6,ATP_Player_14,ATP_Player_17,2.835,1.703
2022-07-09,ATP,Tourney_1,ATP_Player_12,ATP_Player_9,4.928,1.357
2022-07-12,ATP,Tourney_4,ATP_Player_6,ATP_Player_10,1.852,2.5
2022-07-15,ATP,Tourney_8,ATP_Player_8,ATP_Player_17,1.42,4.244
2022-07-18,ATP,Tourney_7,ATP_Player_4,ATP_Player_18,2.566,1.817
2022-07-21,WTA,Tourney_5,WTA_Player_11,WTA_Player_6,4.44,1.399
2022-07-24,ATP,Tourney_6,ATP_Player_1,ATP_Player_19,1.399,4.44
2022-07-27,ATP,Tourney_7,ATP_Player_2,ATP_Player_17,1.876,2.457
2022-07-30,ATP,Tourney_1,ATP_Player_15,ATP_Player_16,3.282,1.574
2022-08-02,WTA,Tourney_4,WTA_Player_7,WTA_Player_4,1.49,3.72
2022-08-05,ATP,Tourney_1,ATP_Player_17,ATP_Player_11,2.707,1.752
2022-08-08,ATP,Tourney_6,ATP_Player_9,ATP_Player_19,4.758,1.37
2022-08-11,ATP,Tourney_8,ATP_Player_12,ATP_Player_3,2.193,2.066
2022-08-14,WTA,Tourney_3,WTA_Player_10,WTA_Player_15,1.763,2.683
2022-08-17,ATP,Tourney_8,ATP_Player_11,ATP_Player_12,2.245,2.022
2022-08-20,ATP,Tourney_5,ATP_Player_2,ATP_Player_1,3.153,1.605
2022-08-23,ATP,Tourney_4,ATP_Player_19,ATP_Player_15,1.265,6.687
2022-08-26,ATP,Tourney_8,ATP_Player_15,ATP_Player_1,4.196,1.425
2022-08-29,ATP,Tourney_6,ATP_Player_8,ATP_Player_10,1.722,2.783
2022-09-01,WTA,Tourney_7,WTA_Player_4,WTA_Player_6,2.245,2.022
2022-09-04,WTA,Tourney_3,WTA_Player_5,WTA_Player_7,1.703,2.835
2022-09-07,WTA,Tourney_6,WTA_Player_18,WTA_Player_11,5.554,1.316
2022-09-10,WTA,Tourney_8,WTA_Player_3,WTA_Player_5,2.5,1.852
2022-09-13,ATP,Tourney_6,ATP_Player_1,ATP_Player_17,2.177,2.081
2022-09-16,ATP,Tourney_7,ATP_Player_3,ATP_Player_20,2.659,1.773
2022-09-19,WTA,Tourney_8,WTA_Player_7,WTA_Player_15,1.742,2.732
2022-09-22,ATP,Tourney_5,ATP_Player_7,ATP_Player_19,2.337,1.952
2022-09-25,WTA,Tourney_3,WTA_Player_6,WTA_Player_5,1.684,2.889
2022-09-28,ATP,Tourney_8,ATP_Player_17,ATP_Player_13,1.84,2.522
2022-10-01,ATP,Tourney_1,ATP_Player_1,ATP_Player_16,2.416,1.901
2022-10-04,WTA,Tourney_2,WTA_Player_6,WTA_Player_9,1.979,2.3
2022-10-07,ATP,Tourney_6,ATP_Player_10,ATP_Player_8,1.852,2.5
2022-10-10,ATP,Tourney_4,ATP_Player_2,ATP_Player_10,1.722,2.783
2022-10-13,ATP,Tourney_3,ATP_Player_8,ATP_Player_3,2.281,1.993
2022-10-16,ATP,Tourney_6,ATP_Player_19,ATP_Player_14,1.453,3.97
2022-10-19,WTA,Tourney_8,WTA_Player_7,WTA_Player_6,2.973,1.656
2022-10-22,ATP,Tourney_8,ATP_Player_16,ATP_Player_6,1.496,3.68
2022-10-25,WTA,Tourney_2,WTA_Player_20,WTA_Player_6,1.648,3.002
2022-10-28,ATP,Tourney_7,ATP_Player_9,ATP_Player_10,2.022,2.245
2022-10-31,WTA,Tourney_8,WTA_Player_6,WTA_Player_18,3.76,1.484
2022-11-03,WTA,Tourney_4,WTA_Player_14,WTA_Player_8,1.784,2.635
2022-11-06,WTA,Tourney_1,WTA_Player_20,WTA_Player_7,2.544,1.829
2022-11-09,ATP,Tourney_7,ATP_Player_17,ATP_Player_5,1.399,4.44
2022-11-12,WTA,Tourney_7,WTA_Player_7,WTA_Player_15,1.409,4.341
2022-11-15,ATP,Tourney_5,ATP_Player_1,ATP_Player_17,1.431,4.15
2022-11-18,ATP,Tourney_7,ATP_Player_4,ATP_Player_6,1.597,3.185
2022-11-21,WTA,Tourney_2,WTA_Player_11,WTA_Player_6,2.051,2.211
2022-11-24,WTA,Tourney_8,WTA_Player_1,WTA_Player_2,2.917,1.675
2022-11-27,ATP,Tourney_1,ATP_Player_11,ATP_Player_5,1.348,5.046
2022-11-30,WTA,Tourney_2,WTA_Player_20,WTA_Player_4,3.002,1.648
2022-12-03,ATP,Tourney_8,ATP_Player_12,ATP_Player_4,1.614,3.122
2022-12-06,ATP,Tourney_5,ATP_Player_16,ATP_Player_11,2.337,1.952
2022-12-09,ATP,Tourney_3,ATP_Player_12,ATP_Player_15,1.773,2.659
2022-12-12,ATP,Tourney_6,ATP_Player_6,ATP_Player_16,1.675,2.917
2022-12-15,WTA,Tourney_5,WTA_Player_7,WTA_Player_5,3.122,1.614
2022-12-18,WTA,Tourney_8,WTA_Player_13,WTA_Player_5,2.081,2.177
2022-12-21,WTA,Tourney_5,WTA_Player_11,WTA_Player_3,2.112,2.144
2022-12-24,WTA,Tourney_5,WTA_Player_1,WTA_Player_9,1.979,2.3
2022-12-27,ATP,Tourney_3,ATP_Player_13,ATP_Player_9,2.973,1.656
2022-12-30,ATP,Tourney_3,ATP_Player_4,ATP_Player_7,3.76,1.484
2023-01-02,ATP,Tourney_6,ATP_Player_14,ATP_Player_9,2.862,1.693
2023-01-05,ATP,Tourney_6,ATP_Player_10,ATP_Player_8,1.516,3.565
2023-01-08,WTA,Tourney_7,WTA_Player_4,WTA_Player_17,3.032,1.639
2023-01-11,ATP,Tourney_7,ATP_Player_11,ATP_Player_5,1.49,3.72
2023-01-14,ATP,Tourney_5,ATP_Player_8,ATP_Player_10,1.864,2.478
2023-01-17,ATP,Tourney_8,ATP_Player_10,ATP_Player_12,1.503,3.641
2023-01-20,WTA,Tourney_8,WTA_Player_16,WTA_Player_14,3.884,1.465
2023-01-23,ATP,Tourney_6,ATP_Player_4,ATP_Player_6,1.51,3.603
2023-01-26,ATP,Tourney_8,ATP_Player_12,ATP_Player_8,2.281,1.993
2023-01-29,ATP,Tourney_5,ATP_Player_11,ATP_Player_4,2.566,1.817
2023-02-01,ATP,Tourney_4,ATP_Player_14,ATP_Player_8,2.612,1.795
2023-02-04,WTA,Tourney_7,WTA_Player_17,WTA_Player_7,1.357,4.928
2023-02-07,WTA,Tourney_7,WTA_Player_10,WTA_Player_14,1.742,2.732
2023-02-10,WTA,Tourney_5,WTA_Player_18,WTA_Player_6,3.091,1.622
2023-02-13,ATP,Tourney_8,ATP_Player_3,ATP_Player_7,2.437,1.888
2023-02-16,ATP,Tourney_5,ATP_Player_19,ATP_Player_12,2.319,1.966
2023-02-19,ATP,Tourney_5,ATP_Player_5,ATP_Player_10,3.35,1.559
2023-02-22,ATP,Tourney_5,ATP_Player_8,ATP_Player_12,2.659,1.773
2023-02-25,ATP,Tourney_5,ATP_Player_7,ATP_Player_6,3.884,1.465
2023-02-28,ATP,Tourney_4,ATP_Player_20,ATP_Player_12,1.675,2.917
2023-03-03,ATP,Tourney_7,ATP_Player_6,ATP_Player_10,1.523,3.528
2023-03-06,WTA,Tourney_1,WTA_Player_8,WTA_Player_2,1.447,4.014
2023-03-09,WTA,Tourney_7,WTA_Player_15,WTA_Player_7,2.683,1.763
2023-03-12,WTA,Tourney_7,WTA_Player_10,WTA_Player_16,3.35,1.559
2023-03-15,ATP,Tourney_4,ATP_Player_15,ATP_Player_7,5.106,1.344
2023-03-18,WTA,Tourney_6,WTA_Player_6,WTA_Player_18,3.316,1.566
2023-03-21,WTA,Tourney_4,WTA_Player_19,WTA_Player_3,2.612,1.795
2023-03-24,WTA,Tourney_2,WTA_Player_14,WTA_Player_17,1.566,3.316
2023-03-27,ATP,Tourney_3,ATP_Player_3,ATP_Player_14,1.675,2.917
2023-03-30,ATP,Tourney_1,ATP_Player_19,ATP_Player_1,2.5,1.852
2023-04-02,ATP,Tourney_3,ATP_Player_17,ATP_Player_15,1.773,2.659
2023-04-05,WTA,Tourney_5,WTA_Player_14,WTA_Player_6,4.596,1.384
2023-04-08,ATP,Tourney_8,ATP_Player_9,ATP_Player_14,1.384,4.596
2023-04-11,ATP,Tourney_4,ATP_Player_15,ATP_Player_9,2.589,1.806
2023-04-14,WTA,Tourney_6,WTA_Player_17,WTA_Player_2,1.763,2.683
2023-04-17,ATP,Tourney_6,ATP_Player_3,ATP_Player_17,2.683,1.763
2023-04-20,ATP,Tourney_7,ATP_Player_10,ATP_Player_4,1.752,2.707
2023-04-23,ATP,Tourney_5,ATP_Player_5,ATP_Player_9,4.014,1.447
2023-04-26,ATP,Tourney_4,ATP_Player_4,ATP_Player_8,1.648,3.002
2023-04-29,ATP,Tourney_7,ATP_Player_6,ATP_Player_13,2.337,1.952
2023-05-02,WTA,Tourney_6,WTA_Player_11,WTA_Player_12,3.316,1.566
2023-05-05,WTA,Tourney_6,WTA_Player_6,WTA_Player_17,1.876,2.457
2023-05-08,WTA,Tourney_7,WTA_Player_3,WTA_Player_9,1.409,4.341
2023-05-11,WTA,Tourney_8,WTA_Player_14,WTA_Player_1,1.913,2.396
2023-05-14,WTA,Tourney_1,WTA_Player_1,WTA_Player_5,1.864,2.478
2023-05-17,WTA,Tourney_5,WTA_Player_8,WTA_Player_9,2.589,1.806
2023-05-20,WTA,Tourney_3,WTA_Player_4,WTA_Player_7,2.263,2.007
2023-05-23,ATP,Tourney_1,ATP_Player_10,ATP_Player_1,2.112,2.144
2023-05-26,ATP,Tourney_3,ATP_Player_15,ATP_Player_17,2.5,1.852
2023-05-29,WTA,Tourney_3,WTA_Player_1,WTA_Player_7,1.566,3.316
2023-06-01,WTA,Tourney_5,WTA_Player_9,WTA_Player_10,1.852,2.5
2023-06-04,ATP,Tourney_3,ATP_Player_10,ATP_Player_18,4.39,1.404
2023-06-07,ATP,Tourney_5,ATP_Player_11,ATP_Player_18,4.987,1.352
2023-06-10,ATP,Tourney_6,ATP_Player_12,ATP_Player_1,1.352,4.987
2023-06-13,WTA,Tourney_1,WTA_Player_7,WTA_Player_15,2.066,2.193
2023-06-16,WTA,Tourney_6,WTA_Player_17,WTA_Player_16,2.319,1.966
2023-06-19,ATP,Tourney_4,ATP_Player_15,ATP_Player_12,1.49,3.72
2023-06-22,WTA,Tourney_4,WTA_Player_19,WTA_Player_18,1.829,2.544
2023-06-25,ATP,Tourney_2,ATP_Player_8,ATP_Player_14,1.675,2.917
2023-06-28,ATP,Tourney_2,ATP_Player_5,ATP_Player_6,2.973,1.656
2023-07-01,ATP,Tourney_6,ATP_Player_2,ATP_Player_17,1.574,3.282
2023-07-04,WTA,Tourney_8,WTA_Player_13,WTA_Player_15,1.361,4.871
2023-07-07,ATP,Tourney_2,ATP_Player_10,ATP_Player_6,1.503,3.641
2023-07-10,WTA,Tourney_5,WTA_Player_19,WTA_Player_20,2.457,1.876
2023-07-13,WTA,Tourney_5,WTA_Player_7,WTA_Player_11,1.436,4.104
2023-07-16,ATP,Tourney_4,ATP_Player_1,ATP_Player_14,1.703,2.835
2023-07-19,WTA,Tourney_7,WTA_Player_19,WTA_Player_3,1.742,2.732
2023-07-22,ATP,Tourney_3,ATP_Player_13,ATP_Player_20,3.491,1.53
2023-07-25,ATP,Tourney_3,ATP_Player_6,ATP_Player_12,2.319,1.966
2023-07-28,ATP,Tourney_5,ATP_Player_5,ATP_Player_19,1.305,5.761
2023-07-31,ATP,Tourney_2,ATP_Player_6,ATP_Player_10,1.465,3.884
2023-08-03,WTA,Tourney_5,WTA_Player_6,WTA_Player_3,1.582,3.249
2023-08-06,ATP,Tourney_4,ATP_Player_15,ATP_Player_3,1.278,6.359
2023-08-09,ATP,Tourney_4,ATP_Player_19,ATP_Player_18,4.196,1.425
2023-08-12,WTA,Tourney_3,WTA_Player_3,WTA_Player_19,1.589,3.217
2023-08-15,WTA,Tourney_8,WTA_Player_14,WTA_Player_12,3.091,1.622
2023-08-18,WTA,Tourney_8,WTA_Player_5,WTA_Player_8,1.496,3.68
2023-08-21,ATP,Tourney_3,ATP_Player_7,ATP_Player_19,1.465,3.884
2023-08-24,WTA,Tourney_1,WTA_Player_2,WTA_Player_15,2.036,2.228
2023-08-27,ATP,Tourney_7,ATP_Player_6,ATP_Player_19,3.42,1.544
2023-08-30,WTA,Tourney_1,WTA_Player_7,WTA_Player_15,2.376,1.926
2023-09-02,WTA,Tourney_5,WTA_Player_1,WTA_Player_16,1.582,3.249
2023-09-05,ATP,Tourney_7,ATP_Player_20,ATP_Player_13,2.3,1.979
2023-09-08,WTA,Tourney_7,WTA_Player_13,WTA_Player_16,1.375,4.703
2023-09-11,ATP,Tourney_3,ATP_Player_11,ATP_Player_1,2.112,2.144
2023-09-14,ATP,Tourney_1,ATP_Player_9,ATP_Player_1,1.399,4.44
2023-09-17,ATP,Tourney_3,ATP_Player_11,ATP_Player_1,1.447,4.014
2023-09-20,WTA,Tourney_7,WTA_Player_19,WTA_Player_15,1.544,3.42
2023-09-23,ATP,Tourney_7,ATP_Player_9,ATP_Player_15,2.245,2.022
2023-09-26,ATP,Tourney_2,ATP_Player_18,ATP_Player_20,2.732,1.742
2023-09-29,ATP,Tourney_8,ATP_Player_9,ATP_Player_11,1.453,3.97
2023-10-02,ATP,Tourney_7,ATP_Player_15,ATP_Player_8,1.742,2.732
2023-10-05,WTA,Tourney_6,WTA_Player_19,WTA_Player_7,1.597,3.185
2023-10-08,WTA,Tourney_5,WTA_Player_20,WTA_Player_18,5.167,1.34
2023-10-11,ATP,Tourney_5,ATP_Player_13,ATP_Player_16,3.091,1.622
2023-10-14,WTA,Tourney_1,WTA_Player_2,WTA_Player_16,1.888,2.437
2023-10-17,ATP,Tourney_5,ATP_Player_20,ATP_Player_11,3.061,1.63
2023-10-20,WTA,Tourney_6,WTA_Player_19,WTA_Player_14,1.379,4.649
2023-10-23,ATP,Tourney_7,ATP_Player_8,ATP_Player_12,2.707,1.752
2023-10-26,ATP,Tourney_7,ATP_Player_16,ATP_Player_15,1.294,5.977
2023-10-29,WTA,Tourney_5,WTA_Player_11,WTA_Player_2,2.566,1.817
2023-11-01,WTA,Tourney_1,WTA_Player_19,WTA_Player_5,2.319,1.966
2023-11-04,ATP,Tourney_8,ATP_Player_3,ATP_Player_20,4.44,1.399
2023-11-07,ATP,Tourney_5,ATP_Player_20,ATP_Player_16,2.478,1.864
2023-11-10,WTA,Tourney_4,WTA_Player_5,WTA_Player_15,3.528,1.523
2023-11-13,ATP,Tourney_7,ATP_Player_2,ATP_Player_3,1.431,4.15
2023-11-16,ATP,Tourney_7,ATP_Player_11,ATP_Player_16,1.51,3.603
2023-11-19,ATP,Tourney_7,ATP_Player_15,ATP_Player_11,2.211,2.051
2023-11-22,WTA,Tourney_6,WTA_Player_15,WTA_Player_12,2.544,1.829
2023-11-25,ATP,Tourney_6,ATP_Player_18,ATP_Player_6,1.551,3.385
2023-11-28,WTA,Tourney_8,WTA_Player_17,WTA_Player_20,2.457,1.876
2023-12-01,WTA,Tourney_3,WTA_Player_18,WTA_Player_2,2.144,2.112
2023-12-04,ATP,Tourney_7,ATP_Player_1,ATP_Player_12,4.39,1.404
2023-12-07,ATP,Tourney_6,ATP_Player_1,ATP_Player_6,1.693,2.862
2023-12-10,WTA,Tourney_3,WTA_Player_7,WTA_Player_5,2.281,1.993
2023-12-13,WTA,Tourney_3,WTA_Player_14,WTA_Player_16,2.337,1.952
2023-12-16,WTA,Tourney_5,WTA_Player_13,WTA_Player_1,3.641,1.503
2023-12-19,ATP,Tourney_5,ATP_Player_8,ATP_Player_19,1.752,2.707
2023-12-22,ATP,Tourney_8,ATP_Player_7,ATP_Player_20,4.15,1.431
2023-12-25,ATP,Tourney_8,ATP_Player_20,ATP_Player_15,2.022,2.245
2023-12-28,WTA,Tourney_6,WTA_Player_6,WTA_Player_13,2.835,1.703
2023-12-31,ATP,Tourney_3,ATP_Player_19,ATP_Player_12,1.684,2.889
2024-01-03,WTA,Tourney_2,WTA_Player_16,WTA_Player_17,6.687,1.265
2024-01-06,ATP,Tourney_5,ATP_Player_14,ATP_Player_6,3.217,1.589
2024-01-09,ATP,Tourney_8,ATP_Player_20,ATP_Player_4,2.835,1.703
2024-01-12,WTA,Tourney_5,WTA_Player_8,WTA_Player_16,1.484,3.76
2024-01-15,WTA,Tourney_4,WTA_Player_18,WTA_Player_10,2.211,2.051
2024-01-18,WTA,Tourney_7,WTA_Player_2,WTA_Player_6,1.703,2.835
2024-01-21,WTA,Tourney_8,WTA_Player_8,WTA_Player_18,1.574,3.282
2024-01-24,WTA,Tourney_2,WTA_Player_9,WTA_Player_2,1.901,2.416
2024-01-27,WTA,Tourney_8,WTA_Player_2,WTA_Player_16,3.927,1.459
2024-01-30,WTA,Tourney_8,WTA_Player_16,WTA_Player_15,2.228,2.036
2024-02-02,ATP,Tourney_2,ATP_Player_11,ATP_Player_12,2.112,2.144
2024-02-05,ATP,Tourney_7,ATP_Player_4,ATP_Player_19,1.544,3.42
2024-02-08,WTA,Tourney_7,WTA_Player_9,WTA_Player_11,2.177,2.081
2024-02-11,WTA,Tourney_2,WTA_Player_11,WTA_Player_5,1.926,2.376
2024-02-14,WTA,Tourney_7,WTA_Player_10,WTA_Player_2,1.42,4.244
2024-02-17,ATP,Tourney_3,ATP_Player_4,ATP_Player_19,1.913,2.396
2024-02-20,ATP,Tourney_4,ATP_Player_19,ATP_Player_9,1.952,2.337
2024-02-23,ATP,Tourney_8,ATP_Player_10,ATP_Player_13,1.622,3.091
2024-02-26,WTA,Tourney_7,WTA_Player_1,WTA_Player_8,4.814,1.366
2024-02-29,WTA,Tourney_1,WTA_Player_18,WTA_Player_9,2.437,1.888
2024-03-03,ATP,Tourney_3,ATP_Player_6,ATP_Player_10,3.061,1.63
2024-03-06,WTA,Tourney_5,WTA_Player_13,WTA_Player_15,1.864,2.478
2024-03-09,ATP,Tourney_5,ATP_Player_6,ATP_Player_10,1.447,4.014
2024-03-12,WTA,Tourney_8,WTA_Player_4,WTA_Player_13,1.712,2.809
2024-03-15,ATP,Tourney_7,ATP_Player_3,ATP_Player_6,1.336,5.229
2024-03-18,WTA,Tourney_4,WTA_Player_18,WTA_Player_19,1.551,3.385
2024-03-21,ATP,Tourney_7,ATP_Player_1,ATP_Player_5,2.635,1.784
2024-03-24,ATP,Tourney_2,ATP_Player_16,ATP_Player_17,1.63,3.061
2024-03-27,ATP,Tourney_1,ATP_Player_14,ATP_Player_9,1.979,2.3
2024-03-30,WTA,Tourney_4,WTA_Player_14,WTA_Player_1,2.3,1.979
2024-04-02,WTA,Tourney_1,WTA_Player_1,WTA_Player_18,2.589,1.806
2024-04-05,ATP,Tourney_2,ATP_Player_12,ATP_Player_13,2.396,1.913
2024-04-08,ATP,Tourney_3,ATP_Player_4,ATP_Player_3,2.022,2.245
2024-04-11,WTA,Tourney_5,WTA_Player_7,WTA_Player_9,2.544,1.829
2024-04-14,WTA,Tourney_7,WTA_Player_1,WTA_Player_14,3.641,1.503
2024-04-17,ATP,Tourney_4,ATP_Player_16,ATP_Player_15,1.864,2.478
2024-04-20,WTA,Tourney_5,WTA_Player_16,WTA_Player_9,1.274,6.439
2024-04-23,WTA,Tourney_2,WTA_Player_2,WTA_Player_15,2.357,1.939
2024-04-26,ATP,Tourney_8,ATP_Player_14,ATP_Player_7,3.72,1.49
2024-04-29,ATP,Tourney_8,ATP_Player_12,ATP_Player_14,6.858,1.259
2024-05-02,ATP,Tourney_1,ATP_Player_15,ATP_Player_9,3.565,1.516
2024-05-05,WTA,Tourney_8,WTA_Player_4,WTA_Player_9,2.707,1.752
2024-05-08,WTA,Tourney_1,WTA_Player_3,WTA_Player_18,1.901,2.416
2024-05-11,ATP,Tourney_4,ATP_Player_9,ATP_Player_10,1.459,3.927
2024-05-14,WTA,Tourney_4,WTA_Player_12,WTA_Player_15,2.5,1.852
2024-05-17,WTA,Tourney_1,WTA_Player_15,WTA_Player_12,2.973,1.656
2024-05-20,ATP,Tourney_8,ATP_Player_6,ATP_Player_10,6.051,1.291
2024-05-23,ATP,Tourney_6,ATP_Player_11,ATP_Player_4,1.425,4.196
2024-05-26,WTA,Tourney_7,WTA_Player_17,WTA_Player_3,2.683,1.763
2024-05-29,ATP,Tourney_7,ATP_Player_12,ATP_Player_15,2.245,2.022
2024-06-01,WTA,Tourney_8,WTA_Player_14,WTA_Player_9,1.566,3.316
2024-06-04,ATP,Tourney_2,ATP_Player_3,ATP_Player_16,1.648,3.002
2024-06-07,ATP,Tourney_1,ATP_Player_11,ATP_Player_16,2.096,2.16
2024-06-10,WTA,Tourney_5,WTA_Player_11,WTA_Player_17,3.032,1.639
2024-06-13,ATP,Tourney_1,ATP_Player_5,ATP_Player_2,1.888,2.437
2024-06-16,ATP,Tourney_5,ATP_Player_15,ATP_Player_17,2.245,2.022
2024-06-19,ATP,Tourney_4,ATP_Player_8,ATP_Player_12,2.566,1.817
2024-06-22,WTA,Tourney_4,WTA_Player_2,WTA_Player_19,1.298,5.904
2024-06-25,ATP,Tourney_2,ATP_Player_5,ATP_Player_18,3.97,1.453
2024-06-28,WTA,Tourney_5,WTA_Player_7,WTA_Player_10,3.528,1.523
2024-07-01,WTA,Tourney_1,WTA_Player_11,WTA_Player_15,1.773,2.659
2024-07-04,ATP,Tourney_4,ATP_Player_8,ATP_Player_19,3.72,1.49
2024-07-07,ATP,Tourney_2,ATP_Player_9,ATP_Player_1,1.477,3.801
2024-07-10,WTA,Tourney_1,WTA_Player_15,WTA_Player_4,1.453,3.97
2024-07-13,ATP,Tourney_3,ATP_Player_7,ATP_Player_11,3.385,1.551
2024-07-16,ATP,Tourney_8,ATP_Player_15,ATP_Player_4,2.416,1.901
2024-07-19,ATP,Tourney_3,ATP_Player_11,ATP_Player_1,2.3,1.979
2024-07-22,ATP,Tourney_7,ATP_Player_8,ATP_Player_6,1.752,2.707
2024-07-25,WTA,Tourney_5,WTA_Player_17,WTA_Player_19,1.51,3.603
2024-07-28,ATP,Tourney_3,ATP_Player_19,ATP_Player_17,2.683,1.763
2024-07-31,WTA,Tourney_6,WTA_Player_12,WTA_Player_13,2.635,1.784
2024-08-03,WTA,Tourney_7,WTA_Player_3,WTA_Player_10,2.228,2.036
