match_date,tournament,tour,surface,indoor,round,player_1,player_2,rank_p1,rank_p2,p1_win,winner_name,loser_name,set_scores,odds_p1,odds_p2,p1_serve_points_won_pct,p2_serve_points_won_pct,p1_return_points_won_pct,p2_return_points_won_pct,p1_hold_pct,p2_hold_pct,p1_break_pct,p2_break_pct,tournament_tier,total_games,game_margin
2022-03-05,Tourney_5,WTA,Clay,0,SF,WTA_Player_15,WTA_Player_16,31,74,1,WTA_Player_15,WTA_Player_16,6-4 3-6 6-3,1.622,3.091,0.587,0.637,0.366,0.377,0.738,0.769,0.187,0.316,3,16.2,2.1
2022-03-08,Tourney_5,WTA,Clay,0,R32,WTA_Player_7,WTA_Player_18,9,30,1,WTA_Player_7,WTA_Player_18,6-4 3-6 6-3,1.84,2.522,0.635,0.674,0.326,0.415,0.8,0.723,0.325,0.162,3,22.8,1.1
2022-03-11,Tourney_6,WTA,Grass,0,R32,WTA_Player_15,WTA_Player_8,63,14,1,WTA_Player_15,WTA_Player_8,6-4 3-6 6-3,3.282,1.574,0.65,0.656,0.429,0.424,0.784,0.789,0.324,0.199,3,20.7,-0.7
2022-03-14,Tourney_6,ATP,Hard,1,R16,ATP_Player_16,ATP_Player_4,120,49,1,ATP_Player_16,ATP_Player_4,6-4 3-6 6-3,4.15,1.431,0.616,0.685,0.321,0.351,0.752,0.758,0.262,0.173,4,19.4,0.8
2022-03-17,Tourney_5,ATP,Grass,0,F,ATP_Player_8,ATP_Player_7,14,1,0,ATP_Player_7,ATP_Player_8,6-4 3-6 6-3,2.357,1.939,0.711,0.627,0.358,0.447,0.868,0.833,0.231,0.157,3,19.3,0.3
2022-03-20,Tourney_3,ATP,Clay,0,SF,ATP_Player_18,ATP_Player_19,91,54,0,ATP_Player_19,ATP_Player_18,6-4 3-6 6-3,2.917,1.675,0.719,0.607,0.442,0.428,0.797,0.809,0.224,0.252,3,23.4,3.3
2022-03-23,Tourney_2,ATP,Hard,0,R16,ATP_Player_14,ATP_Player_13,75,91,1,ATP_Player_14,ATP_Player_13,6-4 3-6 6-3,1.901,2.416,0.601,0.692,0.431,0.42,0.853,0.717,0.287,0.215,1,24.8,-1.7
2022-03-26,Tourney_5,WTA,Clay,0,R16,WTA_Player_7,WTA_Player_2,42,96,1,WTA_Player_7,WTA_Player_2,6-4 3-6 6-3,1.537,3.455,0.66,0.68,0.444,0.365,0.857,0.745,0.318,0.287,1,18.1,6.3
2022-03-29,Tourney_1,WTA,Hard,0,F,WTA_Player_4,WTA_Player_3,47,98,1,WTA_Player_4,WTA_Player_3,6-4 3-6 6-3,1.559,3.35,0.613,0.641,0.446,0.428,0.766,0.811,0.253,0.249,3,26.9,0.5
2022-04-01,Tourney_8,ATP,Hard,0,R16,ATP_Player_6,ATP_Player_16,119,102,0,ATP_Player_16,ATP_Player_6,6-4 3-6 6-3,2.437,1.888,0.595,0.713,0.371,0.417,0.882,0.713,0.134,0.29,2,19.8,-1.1
2022-04-04,Tourney_5,WTA,Clay,0,R16,WTA_Player_16,WTA_Player_18,84,57,1,WTA_Player_16,WTA_Player_18,6-4 3-6 6-3,2.659,1.773,0.606,0.684,0.347,0.431,0.692,0.693,0.247,0.202,2,21.6,-3.9
2022-04-07,Tourney_4,ATP,Hard,0,QF,ATP_Player_18,ATP_Player_12,25,42,0,ATP_Player_12,ATP_Player_18,6-4 3-6 6-3,1.888,2.437,0.581,0.673,0.418,0.331,0.886,0.775,0.26,0.314,3,21.0,5.2
2022-04-10,Tourney_1,ATP,Grass,0,SF,ATP_Player_14,ATP_Player_4,73,65,1,ATP_Player_14,ATP_Player_4,6-4 3-6 6-3,2.263,2.007,0.685,0.702,0.348,0.387,0.755,0.837,0.157,0.269,3,23.0,8.5
2022-04-13,Tourney_2,ATP,Clay,1,SF,ATP_Player_2,ATP_Player_16,53,93,1,ATP_Player_2,ATP_Player_16,6-4 3-6 6-3,1.648,3.002,0.606,0.648,0.351,0.348,0.696,0.825,0.276,0.24,4,25.3,-5.8
2022-04-16,Tourney_8,ATP,Hard,0,F,ATP_Player_12,ATP_Player_5,117,41,0,ATP_Player_5,ATP_Player_12,6-4 3-6 6-3,4.39,1.404,0.599,0.616,0.345,0.42,0.838,0.808,0.273,0.159,3,23.5,-8.3
2022-04-19,Tourney_1,ATP,Clay,0,R16,ATP_Player_2,ATP_Player_11,93,116,0,ATP_Player_11,ATP_Player_2,6-4 3-6 6-3,1.817,2.566,0.72,0.604,0.439,0.415,0.728,0.748,0.138,0.264,4,21.0,1.7
2022-04-22,Tourney_2,ATP,Grass,0,SF,ATP_Player_8,ATP_Player_3,30,76,1,ATP_Player_8,ATP_Player_3,6-4 3-6 6-3,1.597,3.185,0.606,0.7,0.424,0.363,0.717,0.713,0.183,0.13,1,26.8,1.6
2022-04-25,Tourney_5,ATP,Clay,1,R32,ATP_Player_15,ATP_Player_7,40,97,1,ATP_Player_15,ATP_Player_7,6-4 3-6 6-3,1.516,3.565,0.582,0.627,0.364,0.327,0.784,0.698,0.303,0.167,3,23.3,2.0
2022-04-28,Tourney_5,ATP,Clay,1,R32,ATP_Player_13,ATP_Player_5,6,68,0,ATP_Player_5,ATP_Player_13,6-4 3-6 6-3,1.484,3.76,0.689,0.651,0.416,0.389,0.873,0.713,0.337,0.216,3,27.8,-11.3
2022-05-01,Tourney_5,WTA,Grass,0,SF,WTA_Player_17,WTA_Player_5,10,46,1,WTA_Player_17,WTA_Player_5,6-4 3-6 6-3,1.684,2.889,0.586,0.647,0.368,0.376,0.725,0.844,0.139,0.128,2,15.2,4.5
2022-05-04,Tourney_1,ATP,Hard,0,R16,ATP_Player_19,ATP_Player_13,82,94,1,ATP_Player_19,ATP_Player_13,6-4 3-6 6-3,1.952,2.337,0.646,0.581,0.343,0.37,0.815,0.693,0.259,0.172,3,20.5,5.3
2022-05-07,Tourney_2,ATP,Hard,1,SF,ATP_Player_7,ATP_Player_17,117,86,0,ATP_Player_17,ATP_Player_7,6-4 3-6 6-3,2.757,1.732,0.626,0.646,0.334,0.392,0.82,0.882,0.33,0.151,2,21.2,1.2
2022-05-10,Tourney_5,WTA,Hard,0,F,WTA_Player_1,WTA_Player_2,81,90,1,WTA_Player_1,WTA_Player_2,6-4 3-6 6-3,1.993,2.281,0.652,0.618,0.346,0.443,0.787,0.897,0.307,0.214,2,16.7,6.4
2022-05-13,Tourney_8,WTA,Clay,0,SF,WTA_Player_4,WTA_Player_8,40,15,0,WTA_Player_8,WTA_Player_4,6-4 3-6 6-3,2.612,1.795,0.671,0.582,0.343,0.443,0.83,0.733,0.34,0.306,4,25.0,0.5
2022-05-16,Tourney_4,ATP,Hard,0,F,ATP_Player_9,ATP_Player_20,116,33,1,ATP_Player_9,ATP_Player_20,6-4 3-6 6-3,4.758,1.37,0.604,0.624,0.407,0.349,0.868,0.757,0.323,0.18,1,26.6,5.8
2022-05-19,Tourney_8,ATP,Grass,0,F,ATP_Player_1,ATP_Player_5,90,97,0,ATP_Player_5,ATP_Player_1,6-4 3-6 6-3,2.022,2.245,0.612,0.633,0.394,0.417,0.703,0.872,0.328,0.156,1,24.0,3.5
2022-05-22,Tourney_6,WTA,Clay,0,SF,WTA_Player_16,WTA_Player_8,35,111,1,WTA_Player_16,WTA_Player_8,6-4 3-6 6-3,1.404,4.39,0.665,0.674,0.44,0.412,0.796,0.823,0.349,0.3,3,24.9,-3.4
2022-05-25,Tourney_6,ATP,Grass,0,SF,ATP_Player_14,ATP_Player_5,8,67,1,ATP_Player_14,ATP_Player_5,6-4 3-6 6-3,1.503,3.641,0.714,0.706,0.34,0.39,0.869,0.695,0.175,0.205,1,22.9,4.9
2022-05-28,Tourney_4,WTA,Hard,0,R32,WTA_Player_12,WTA_Player_10,14,77,1,WTA_Player_12,WTA_Player_10,6-4 3-6 6-3,1.477,3.801,0.593,0.652,0.334,0.439,0.826,0.722,0.234,0.309,4,25.5,5.1
2022-05-31,Tourney_2,WTA,Grass,1,R32,WTA_Player_2,WTA_Player_10,46,26,1,WTA_Player_2,WTA_Player_10,6-4 3-6 6-3,2.5,1.852,0.657,0.713,0.363,0.403,0.855,0.835,0.287,0.168,4,22.2,11.0
2022-06-03,Tourney_8,WTA,Grass,0,R16,WTA_Player_5,WTA_Player_11,115,113,1,WTA_Player_5,WTA_Player_11,6-4 3-6 6-3,2.16,2.096,0.591,0.628,0.419,0.441,0.852,0.793,0.17,0.175,4,24.1,2.8
2022-06-06,Tourney_4,ATP,Hard,0,R16,ATP_Player_15,ATP_Player_11,47,97,0,ATP_Player_11,ATP_Player_15,6-4 3-6 6-3,1.566,3.316,0.719,0.656,0.355,0.372,0.893,0.755,0.298,0.264,2,21.6,4.3
2022-06-09,Tourney_1,WTA,Clay,0,QF,WTA_Player_17,WTA_Player_12,87,88,0,WTA_Player_12,WTA_Player_17,6-4 3-6 6-3,2.112,2.144,0.605,0.642,0.327,0.339,0.805,0.698,0.316,0.298,2,23.0,-2.9
2022-06-12,Tourney_5,ATP,Hard,0,R32,ATP_Player_6,ATP_Player_10,116,69,0,ATP_Player_10,ATP_Player_6,6-4 3-6 6-3,3.217,1.589,0.585,0.604,0.449,0.388,0.692,0.835,0.152,0.185,3,21.4,-3.9
2022-06-15,Tourney_3,ATP,Clay,0,QF,ATP_Player_6,ATP_Player_12,80,115,1,ATP_Player_6,ATP_Player_12,6-4 3-6 6-3,1.693,2.862,0.598,0.581,0.357,0.381,0.833,0.712,0.302,0.263,4,25.9,1.6
2022-06-18,Tourney_5,ATP,Grass,0,R32,ATP_Player_9,ATP_Player_7,50,21,0,ATP_Player_7,ATP_Player_9,6-4 3-6 6-3,2.707,1.752,0.69,0.592,0.381,0.416,0.854,0.829,0.206,0.336,3,22.9,-6.3
2022-06-21,Tourney_6,ATP,Grass,0,F,ATP_Player_17,ATP_Player_19,6,50,0,ATP_Player_19,ATP_Player_17,6-4 3-6 6-3,1.614,3.122,0.71,0.652,0.404,0.356,0.861,0.823,0.268,0.147,1,22.7,0.5
2022-06-24,Tourney_6,ATP,Grass,0,R16,ATP_Player_2,ATP_Player_11,114,53,0,ATP_Player_11,ATP_Player_2,6-4 3-6 6-3,3.72,1.49,0.646,0.684,0.362,0.327,0.728,0.842,0.224,0.264,2,23.8,-6.8
2022-06-27,Tourney_8,WTA,Hard,0,R32,WTA_Player_11,WTA_Player_13,56,104,1,WTA_Player_11,WTA_Player_13,6-4 3-6 6-3,1.582,3.249,0.676,0.698,0.402,0.443,0.811,0.692,0.194,0.23,1,17.8,9.5
2022-06-30,Tourney_7,ATP,Grass,0,QF,ATP_Player_13,ATP_Player_8,17,39,0,ATP_Player_8,ATP_Player_13,6-4 3-6 6-3,1.829,2.544,0.715,0.717,0.39,0.362,0.772,0.777,0.185,0.22,4,22.3,3.1
2022-07-03,Tourney_1,ATP,Hard,0,SF,ATP_Player_20,ATP_Player_14,33,116,1,ATP_Player_20,ATP_Player_14,6-4 3-6 6-3,1.37,4.758,0.673,0.591,0.369,0.353,0.813,0.851,0.248,0.278,3,20.4,3.9
2022-07-06,Tourney_6,ATP,Hard,0,QF,ATP_Player_14,ATP_Player_17,82,48,0,ATP_Player_17,ATP_Player_14,6-4 3-6 6-3,2.835,1.703,0.656,0.706,0.375,0.373,0.819,0.764,0.234,0.29,1,17.9,-5.6
2022-07-09,Tourney_1,ATP,Hard,0,R16,ATP_Player_12,ATP_Player_9,112,26,0,ATP_Player_9,ATP_Player_12,6-4 3-6 6-3,4.928,1.357,0.6,0.653,0.326,0.389,0.743,0.819,0.234,0.285,2,24.3,-6.2
2022-07-12,Tourney_4,ATP,Grass,1,F,ATP_Player_6,ATP_Player_10,59,79,0,ATP_Player_10,ATP_Player_6,6-4 3-6 6-3,1.852,2.5,0.592,0.688,0.394,0.388,0.725,0.836,0.128,0.168,1,27.7,-7.5
2022-07-15,Tourney_8,ATP,Hard,0,R16,ATP_Player_8,ATP_Player_17,5,78,1,ATP_Player_8,ATP_Player_17,6-4 3-6 6-3,1.42,4.244,0.659,0.666,0.354,0.448,0.751,0.891,0.204,0.281,4,21.8,3.3
2022-07-18,Tourney_7,ATP,Hard,1,QF,ATP_Player_4,ATP_Player_18,54,31,1,ATP_Player_4,ATP_Player_18,6-4 3-6 6-3,2.566,1.817,0.708,0.646,0.406,0.36,0.721,0.823,0.186,0.34,2,20.1,1.7
2022-07-21,Tourney_5,WTA,Clay,0,SF,WTA_Player_11,WTA_Player_6,118,41,1,WTA_Player_11,WTA_Player_6,6-4 3-6 6-3,4.44,1.399,0.711,0.687,0.403,0.367,0.681,0.806,0.257,0.186,2,22.8,-5.0
2022-07-24,Tourney_6,ATP,Clay,1,R16,ATP_Player_1,ATP_Player_19,33,110,1,ATP_Player_1,ATP_Player_19,6-4 3-6 6-3,1.399,4.44,0.647,0.644,0.341,0.382,0.756,0.809,0.312,0.223,2,13.9,0.0
2022-07-27,Tourney_7,ATP,Grass,0,F,ATP_Player_2,ATP_Player_17,32,50,1,ATP_Player_2,ATP_Player_17,6-4 3-6 6-3,1.876,2.457,0.616,0.629,0.326,0.358,0.774,0.686,0.164,0.28,3,23.2,-1.7
2022-07-30,Tourney_1,ATP,Hard,0,SF,ATP_Player_15,ATP_Player_16,72,23,1,ATP_Player_15,ATP_Player_16,6-4 3-6 6-3,3.282,1.574,0.719,0.617,0.359,0.346,0.725,0.888,0.273,0.346,4,12,-1.9
2022-08-02,Tourney_4,WTA,Hard,0,R32,WTA_Player_7,WTA_Player_4,27,88,1,WTA_Player_7,WTA_Player_4,6-4 3-6 6-3,1.49,3.72,0.713,0.608,0.34,0.388,0.815,0.725,0.126,0.169,4,28.5,-1.2
2022-08-05,Tourney_1,ATP,Grass,0,R32,ATP_Player_17,ATP_Player_11,102,73,1,ATP_Player_17,ATP_Player_11,6-4 3-6 6-3,2.707,1.752,0.608,0.638,0.371,0.401,0.703,0.803,0.262,0.335,2,21.5,-1.0
2022-08-08,Tourney_6,ATP,Clay,0,F,ATP_Player_9,ATP_Player_19,85,2,0,ATP_Player_19,ATP_Player_9,6-4 3-6 6-3,4.758,1.37,0.65,0.661,0.406,0.396,0.73,0.686,0.15,0.24,4,14.6,1.2
2022-08-11,Tourney_8,ATP,Clay,0,QF,ATP_Player_12,ATP_Player_3,58,54,0,ATP_Player_3,ATP_Player_12,6-4 3-6 6-3,2.193,2.066,0.621,0.685,0.385,0.402,0.807,0.682,0.275,0.301,2,24.9,1.0
2022-08-14,Tourney_3,WTA,Clay,0,SF,WTA_Player_10,WTA_Player_15,80,108,1,WTA_Player_10,WTA_Player_15,6-4 3-6 6-3,1.763,2.683,0.711,0.595,0.366,0.322,0.732,0.691,0.252,0.2,1,23.5,4.1
2022-08-17,Tourney_8,ATP,Clay,0,R32,ATP_Player_11,ATP_Player_12,114,107,0,ATP_Player_12,ATP_Player_11,6-4 3-6 6-3,2.245,2.022,0.716,0.595,0.33,0.386,0.863,0.764,0.283,0.236,2,19.0,0.1
2022-08-20,Tourney_5,ATP,Grass,0,F,ATP_Player_2,ATP_Player_1,81,36,1,ATP_Player_2,ATP_Player_1,6-4 3-6 6-3,3.153,1.605,0.619,0.645,0.377,0.444,0.687,0.859,0.2,0.273,3,25.5,-0.2
2022-08-23,Tourney_4,ATP,Clay,0,R16,ATP_Player_19,ATP_Player_15,6,117,1,ATP_Player_19,ATP_Player_15,6-4 3-6 6-3,1.265,6.687,0.707,0.59,0.361,0.334,0.844,0.888,0.151,0.122,2,23.8,2.8
2022-08-26,Tourney_8,ATP,Clay,0,SF,ATP_Player_15,ATP_Player_1,101,29,1,ATP_Player_15,ATP_Player_1,6-4 3-6 6-3,4.196,1.425,0.584,0.596,0.429,0.338,0.873,0.763,0.217,0.349,3,22.7,-3.6
2022-08-29,Tourney_6,ATP,Hard,1,F,ATP_Player_8,ATP_Player_10,19,51,1,ATP_Player_8,ATP_Player_10,6-4 3-6 6-3,1.722,2.783,0.626,0.594,0.382,0.396,0.812,0.713,0.317,0.236,1,25.4,6.2
2022-09-01,Tourney_7,WTA,Grass,0,R32,WTA_Player_4,WTA_Player_6,40,33,1,WTA_Player_4,WTA_Player_6,6-4 3-6 6-3,2.245,2.022,0.643,0.697,0.384,0.34,0.797,0.805,0.337,0.312,3,15.9,-2.3
2022-09-04,Tourney_3,WTA,Hard,0,R16,WTA_Player_5,WTA_Player_7,69,103,0,WTA_Player_7,WTA_Player_5,6-4 3-6 6-3,1.703,2.835,0.698,0.669,0.427,0.362,0.771,0.683,0.231,0.333,4,20.9,-3.9
2022-09-07,Tourney_6,WTA,Hard,0,SF,WTA_Player_18,WTA_Player_11,98,2,0,WTA_Player_11,WTA_Player_18,6-4 3-6 6-3,5.554,1.316,0.589,0.596,0.361,0.408,0.781,0.781,0.146,0.178,1,23.3,-2.2
2022-09-10,Tourney_8,WTA,Grass,0,QF,WTA_Player_3,WTA_Player_5,103,83,1,WTA_Player_3,WTA_Player_5,6-4 3-6 6-3,2.5,1.852,0.631,0.589,0.416,0.34,0.834,0.826,0.34,0.316,1,27.6,4.2
2022-09-13,Tourney_6,ATP,Grass,0,R16,ATP_Player_1,ATP_Player_17,99,96,1,ATP_Player_1,ATP_Player_17,6-4 3-6 6-3,2.177,2.081,0.706,0.675,0.333,0.37,0.723,0.781,0.167,0.122,2,27.8,-3.9
2022-09-16,Tourney_7,ATP,Clay,0,QF,ATP_Player_3,ATP_Player_20,56,29,1,ATP_Player_3,ATP_Player_20,6-4 3-6 6-3,2.659,1.773,0.636,0.674,0.367,0.42,0.851,0.68,0.142,0.157,3,18.5,-1.2
2022-09-19,Tourney_8,WTA,Hard,0,QF,WTA_Player_7,WTA_Player_15,82,112,1,WTA_Player_7,WTA_Player_15,6-4 3-6 6-3,1.742,2.732,0.602,0.648,0.447,0.434,0.863,0.698,0.196,0.204,3,31.0,7.5
2022-09-22,Tourney_5,ATP,Hard,0,R32,ATP_Player_7,ATP_Player_19,63,51,0,ATP_Player_19,ATP_Player_7,6-4 3-6 6-3,2.337,1.952,0.634,0.712,0.429,0.437,0.843,0.813,0.131,0.246,2,19.6,-0.4
2022-09-25,Tourney_3,WTA,Hard,0,SF,WTA_Player_6,WTA_Player_5,10,46,0,WTA_Player_5,WTA_Player_6,6-4 3-6 6-3,1.684,2.889,0.647,0.585,0.398,0.388,0.829,0.8,0.148,0.289,4,22.2,1.5
2022-09-28,Tourney_8,ATP,Grass,0,R32,ATP_Player_17,ATP_Player_13,50,71,0,ATP_Player_13,ATP_Player_17,6-4 3-6 6-3,1.84,2.522,0.581,0.71,0.335,0.399,0.822,0.814,0.312,0.19,4,26.2,-5.9
2022-10-01,Tourney_1,ATP,Hard,0,R32,ATP_Player_1,ATP_Player_16,112,96,1,ATP_Player_1,ATP_Player_16,6-4 3-6 6-3,2.416,1.901,0.61,0.592,0.414,0.397,0.822,0.712,0.266,0.293,3,18.4,7.2
2022-10-04,Tourney_2,WTA,Clay,0,QF,WTA_Player_6,WTA_Player_9,49,59,0,WTA_Player_9,WTA_Player_6,6-4 3-6 6-3,1.979,2.3,0.583,0.606,0.38,0.321,0.763,0.895,0.278,0.26,4,23.4,5.4
2022-10-07,Tourney_6,ATP,Grass,0,SF,ATP_Player_10,ATP_Player_8,68,88,1,ATP_Player_10,ATP_Player_8,6-4 3-6 6-3,1.852,2.5,0.707,0.583,0.325,0.347,0.9,0.787,0.142,0.288,1,17.3,-3.1
2022-10-10,Tourney_4,ATP,Grass,0,SF,ATP_Player_2,ATP_Player_10,87,119,0,ATP_Player_10,ATP_Player_2,6-4 3-6 6-3,1.722,2.783,0.662,0.658,0.399,0.385,0.73,0.699,0.188,0.128,3,20.8,-12.1
2022-10-13,Tourney_3,ATP,Clay,0,F,ATP_Player_8,ATP_Player_3,19,10,0,ATP_Player_3,ATP_Player_8,6-4 3-6 6-3,2.281,1.993,0.693,0.611,0.38,0.427,0.771,0.742,0.213,0.317,3,24.5,2.3
2022-10-16,Tourney_6,ATP,Hard,0,QF,ATP_Player_19,ATP_Player_14,37,104,1,ATP_Player_19,ATP_Player_14,6-4 3-6 6-3,1.453,3.97,0.706,0.668,0.325,0.345,0.783,0.698,0.217,0.247,4,18.0,1.6
2022-10-19,Tourney_8,WTA,Hard,0,R16,WTA_Player_7,WTA_Player_6,97,58,1,WTA_Player_7,WTA_Player_6,6-4 3-6 6-3,2.973,1.656,0.702,0.691,0.373,0.421,0.889,0.79,0.204,0.207,1,17.0,0.6
2022-10-22,Tourney_8,ATP,Clay,0,R16,ATP_Player_16,ATP_Player_6,3,63,1,ATP_Player_16,ATP_Player_6,6-4 3-6 6-3,1.496,3.68,0.661,0.659,0.406,0.336,0.848,0.71,0.266,0.178,2,29.3,0.9
2022-10-25,Tourney_2,WTA,Hard,0,QF,WTA_Player_20,WTA_Player_6,20,60,1,WTA_Player_20,WTA_Player_6,6-4 3-6 6-3,1.648,3.002,0.599,0.635,0.413,0.446,0.683,0.712,0.293,0.246,3,19.4,-0.4
2022-10-28,Tourney_7,ATP,Hard,0,F,ATP_Player_9,ATP_Player_10,72,79,1,ATP_Player_9,ATP_Player_10,6-4 3-6 6-3,2.022,2.245,0.661,0.641,0.417,0.384,0.873,0.887,0.269,0.299,3,27.1,-0.3
2022-10-31,Tourney_8,WTA,Grass,0,SF,WTA_Player_6,WTA_Player_18,96,34,0,WTA_Player_18,WTA_Player_6,6-4 3-6 6-3,3.76,1.484,0.632,0.615,0.414,0.45,0.852,0.892,0.279,0.339,3,17.4,2.9
2022-11-03,Tourney_4,WTA,Grass,0,QF,WTA_Player_14,WTA_Player_8,25,51,0,WTA_Player_8,WTA_Player_14,6-4 3-6 6-3,1.784,2.635,0.695,0.707,0.331,0.337,0.767,0.704,0.184,0.128,2,24.9,-4.7
2022-11-06,Tourney_1,WTA,Grass,1,R16,WTA_Player_20,WTA_Player_7,30,8,1,WTA_Player_20,WTA_Player_7,6-4 3-6 6-3,2.544,1.829,0.652,0.602,0.409,0.412,0.741,0.701,0.183,0.206,1,28.8,4.6
